rank,model,final_avg_score_character,metric_Contextual_Alignment_character,metric_Character_Consistency_character,metric_Descriptive_Depth_character,metric_Role_Specific_Knowledge_character,metric_Engagement_and_Collaboration_character,metric_Creativity_and_Emotional_Nuance_character,final_avg_score_scene,metric_Contextual_Alignment_scene,metric_Character_Consistency_scene,metric_Descriptive_Depth_scene,metric_Role_Specific_Knowledge_scene,metric_Engagement_and_Collaboration_scene,metric_Creativity_and_Emotional_Nuance_scene,final_avg_score_combined,beautiful_name,metric_Contextual_Alignment_combined,metric_Character_Consistency_combined,metric_Descriptive_Depth_combined,metric_Role_Specific_Knowledge_combined,metric_Engagement_and_Collaboration_combined,metric_Creativity_and_Emotional_Nuance_combined
1,higgs-llama-3-70b,20.994337499999993,3.83,4.03,2.48,3.27,3.93,3.46,21.53715749999999,3.97,4.1,2.61,3.33,4.09,3.43,21.26574749999999,Higgs-Llama-3 70B V1 3.5bpw,3.9000000000000004,4.0649999999999995,2.545,3.3,4.01,3.4450000000000003
2,gpt-4-1106-preview,21.3521425,3.79,4.0,2.61,3.34,3.99,3.63,20.892125000000007,3.71,3.86,2.7,3.28,3.92,3.43,21.122133750000003,GPT-4-Turbo (1106 Preview),3.75,3.9299999999999997,2.6550000000000002,3.3099999999999996,3.955,3.5300000000000002
3,gemini-1.5-pro-001,20.221892499999996,3.63,3.8,2.53,3.12,3.69,3.45,21.96001999999999,4.08,4.24,2.63,3.38,4.17,3.47,21.09095624999999,Gemini 1.5 Pro 001,3.855,4.02,2.58,3.25,3.9299999999999997,3.46
4,llama-3-70b-instruct,21.20449748743718,3.77,3.97,2.53,3.29,3.93,3.61,20.88631250000002,3.71,3.87,2.67,3.28,3.95,3.41,21.0454049937186,Llama-3 70B Instruct,3.74,3.92,2.5999999999999996,3.285,3.9400000000000004,3.51
5,llama-3.1-70b-instruct,21.269824120603005,3.77,3.98,2.55,3.3,3.95,3.61,20.747170426065146,3.66,3.81,2.68,3.25,3.9,3.4,21.008497273334076,Llama-3.1 70B Instruct,3.715,3.895,2.615,3.275,3.925,3.505
6,gpt-4o,20.664825000000004,3.66,3.87,2.53,3.26,3.83,3.52,21.3063,3.83,4.0,2.72,3.34,3.98,3.43,20.9855625,GPT-4o (2024-05-13),3.745,3.935,2.625,3.3,3.9050000000000002,3.475
7,llama-3-1-405b-instruct-fp8,21.32743750000001,3.79,4.01,2.57,3.33,3.98,3.65,20.613942355889737,3.63,3.8,2.65,3.24,3.88,3.36,20.970689927944875,Llama-3.1 405B Instruct (FP8),3.71,3.905,2.61,3.285,3.9299999999999997,3.505
8,qwen-2-72b-instruct,21.110625628140678,3.72,3.92,2.57,3.29,3.93,3.57,20.795969849246237,3.65,3.78,2.72,3.27,3.86,3.41,20.953297738693458,Qwen 2 72B Instruct,3.685,3.8499999999999996,2.645,3.2800000000000002,3.895,3.49
9,llama3.1-8B-instruct,21.002195,3.74,3.95,2.54,3.29,3.92,3.58,20.660309823677586,3.63,3.78,2.65,3.23,3.85,3.36,20.831252411838793,Llama-3.1 8B Instruct,3.685,3.865,2.5949999999999998,3.26,3.885,3.4699999999999998
10,claude-3.5-sonnet-20240620,20.875132500000003,3.68,3.89,2.59,3.28,3.88,3.56,20.75697249999999,3.67,3.82,2.71,3.26,3.9,3.39,20.816052499999998,Claude-3.5 Sonnet (2024-06-20),3.675,3.855,2.65,3.2699999999999996,3.8899999999999997,3.475
11,yi-large,20.991884999999993,3.66,3.89,2.69,3.34,3.88,3.53,20.541414572864337,3.59,3.72,2.72,3.25,3.78,3.37,20.766649786432165,Yi Large (2024-05-13),3.625,3.805,2.705,3.295,3.83,3.45
12,mistral-large-2402,20.32622749999999,3.53,3.73,2.58,3.17,3.82,3.49,20.750554999999977,3.6,3.69,2.85,3.28,3.81,3.53,20.538391249999982,Mistral Large (2024-02),3.565,3.71,2.715,3.2249999999999996,3.815,3.51
