rank,Model,Average Score,Character Score,Scene Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,Higgs-Llama-3 70B V1 3.5bpw,100.0,98.32,98.07,100.0,100.0,93.74,99.7,100.0,97.59
2,GPT-4-Turbo (1106 Preview),99.32,100.0,95.14,96.15,96.68,97.79,100.0,98.63,100.0
3,Gemini 1.5 Pro 001,99.18,94.71,100.0,98.85,98.89,95.03,98.19,98.0,98.02
4,Llama-3 70B Instruct,98.96,99.31,95.11,95.9,96.43,95.76,99.24,98.25,99.43
5,Llama-3.1 70B Instruct,98.79,99.61,94.48,95.26,95.82,96.32,98.94,97.88,99.29
6,GPT-4o (2024-05-13),98.68,96.78,97.02,96.03,96.8,96.69,99.7,97.38,98.44
7,Llama-3.1 405B Instruct (FP8),98.61,99.88,93.87,95.13,96.06,96.13,99.24,98.0,99.29
8,Qwen 2 72B Instruct,98.53,98.87,94.7,94.49,94.71,97.42,99.09,97.13,98.87
9,Llama-3.1 8B Instruct,97.96,98.36,94.08,94.49,95.08,95.58,98.49,96.88,98.3
10,Claude-3.5 Sonnet (2024-06-20),97.89,97.77,94.52,94.23,94.83,97.61,98.79,97.01,98.44
11,Yi Large (2024-05-13),97.65,98.31,93.54,92.95,93.6,99.63,99.55,95.51,97.73
12,Mistral Large (2024-02),96.58,95.2,94.49,91.41,91.27,100.0,97.43,95.14,99.43
