rank,Model,Average Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,Gemini 1.5 Pro 001,21.96,4.08,4.24,2.63,3.38,4.17,3.47
2,Higgs-Llama-3 70B V1 3.5bpw,21.54,3.97,4.1,2.61,3.33,4.09,3.43
3,GPT-4o (2024-05-13),21.31,3.83,4.0,2.72,3.34,3.98,3.43
4,GPT-4-Turbo (1106 Preview),20.89,3.71,3.86,2.7,3.28,3.92,3.43
5,Llama-3 70B Instruct,20.89,3.71,3.87,2.67,3.28,3.95,3.41
6,Qwen 2 72B Instruct,20.8,3.65,3.78,2.72,3.27,3.86,3.41
7,Claude-3.5 Sonnet (2024-06-20),20.76,3.67,3.82,2.71,3.26,3.9,3.39
8,Mistral Large (2024-02),20.75,3.6,3.69,2.85,3.28,3.81,3.53
9,Llama-3.1 70B Instruct,20.75,3.66,3.81,2.68,3.25,3.9,3.4
10,Llama-3.1 8B Instruct,20.66,3.63,3.78,2.65,3.23,3.85,3.36
11,Llama-3.1 405B Instruct (FP8),20.61,3.63,3.8,2.65,3.24,3.88,3.36
12,Yi Large (2024-05-13),20.54,3.59,3.72,2.72,3.25,3.78,3.37
